Index,C,Score,gamma
381,49.6969696969697,0.8533333333333333,0.8200000000000001
382,49.6969696969697,0.8533333333333333,0.8300000000000001
383,49.6969696969697,0.8533333333333333,0.8400000000000001
384,49.6969696969697,0.8533333333333333,0.85
385,49.6969696969697,0.8613333333333333,0.86
386,49.6969696969697,0.8613333333333333,0.87
387,49.6969696969697,0.8613333333333333,0.88
388,49.6969696969697,0.8613333333333333,0.89
389,49.6969696969697,0.8613333333333333,0.9
390,49.6969696969697,0.8613333333333333,0.91
391,49.6969696969697,0.8613333333333333,0.92
392,49.6969696969697,0.8613333333333333,0.93
393,49.6969696969697,0.8613333333333333,0.9400000000000001
394,49.6969696969697,0.8613333333333333,0.9500000000000001
395,49.6969696969697,0.8613333333333333,0.9600000000000001
396,49.6969696969697,0.8613333333333333,0.97
397,49.6969696969697,0.8613333333333333,0.98
398,49.6969696969697,0.853,0.99
399,49.6969696969697,0.853,1.0
400,59.5959595959596,0.8133333333333332,0.01
401,59.5959595959596,0.8536666666666667,0.02
402,59.5959595959596,0.8293333333333333,0.03
403,59.5959595959596,0.8373333333333333,0.04
404,59.5959595959596,0.8203333333333334,0.05
405,59.5959595959596,0.8036666666666668,0.060000000000000005
406,59.5959595959596,0.8123333333333334,0.06999999999999999
407,59.5959595959596,0.8366666666666667,0.08
408,59.5959595959596,0.8780000000000001,0.09
409,59.5959595959596,0.8780000000000001,0.09999999999999999
410,59.5959595959596,0.8703333333333333,0.11
411,59.5959595959596,0.8779999999999999,0.12
412,59.5959595959596,0.8699999999999999,0.13
413,59.5959595959596,0.8700000000000001,0.14
414,59.5959595959596,0.8620000000000001,0.15000000000000002
415,59.5959595959596,0.8620000000000001,0.16
416,59.5959595959596,0.8540000000000001,0.17
417,59.5959595959596,0.8540000000000001,0.18000000000000002
418,59.5959595959596,0.8460000000000001,0.19
419,59.5959595959596,0.8376666666666667,0.2
420,59.5959595959596,0.8376666666666667,0.21000000000000002
421,59.5959595959596,0.8376666666666667,0.22
422,59.5959595959596,0.8293333333333333,0.23
423,59.5959595959596,0.8376666666666667,0.24000000000000002
424,59.5959595959596,0.8456666666666667,0.25
425,59.5959595959596,0.8456666666666667,0.26
426,59.5959595959596,0.8456666666666667,0.27
427,59.5959595959596,0.8456666666666667,0.28
428,59.5959595959596,0.8456666666666667,0.29000000000000004
429,59.5959595959596,0.8536666666666667,0.3
430,59.5959595959596,0.8536666666666667,0.31
431,59.5959595959596,0.8536666666666667,0.32
432,59.5959595959596,0.8536666666666667,0.33
433,59.5959595959596,0.8536666666666667,0.34
